G,Date,Opponent,Unnamed: 7,Tm,Opp,W,L,Streak,Team,Year,Is_Playoffs,Team_Pace,Team_eFG%,Team_TOV%,Team_ORB%,Team_FT/FGA,Team_ORtg,Opponent_Pace,Opponent_eFG%,Opponent_TOV%,Opponent_ORB%,Opponent_FT/FGA,Opponent_ORtg,Team_Player1_Starters,Team_Player2_Starters,Team_Player3_Starters,Team_Player4_Starters,Team_Player5_Starters,Team_Player6_Starters,Team_Player7_Starters,Team_Player8_Starters,Team_Player9_Starters,Team_Player10_Starters,Team_Player11_Starters,Team_Player12_Starters,Team_Player13_Starters,Team_Player14_Starters,Team_Player15_Starters,Team_Player16_Starters,Opponent_Player1_Starters,Opponent_Player2_Starters,Opponent_Player3_Starters,Opponent_Player4_Starters,Opponent_Player5_Starters,Opponent_Player6_Starters,Opponent_Player7_Starters,Opponent_Player8_Starters,Opponent_Player9_Starters,Opponent_Player10_Starters,Opponent_Player11_Starters,Opponent_Player12_Starters,Opponent_Player13_Starters,Opponent_Player14_Starters,Opponent_Player15_Starters,Opponent_Player16_Starters
33,20240102,OKC,L,123,127,26,7,L 1,BOS,2024,False,96.8,.538,11.8,37.8,.261,127.0,97.8,.626,10.9,25.0,.143,129.8,Jaylen Brown,Jayson Tatum,Kristaps Porziņģis,Jrue Holiday,Derrick White,Payton Pritchard,Al Horford,Luke Kornet,Sam Hauser,Dalano Banton,Oshae Brissett,Svi Mykhailiuk,Neemias Queta,Lamar Stevens,Team Totals,,Luguentz Dort,Shai Gilgeous-Alexander,Chet Holmgren,Jalen Williams,Josh Giddey,Cason Wallace,Kenrich Williams,Aaron Wiggins,Isaiah Joe,Vasilije Micić,Jaylin Williams,Dāvis Bertāns,Tre Mann,Aleksej Pokusevski,Team Totals,
34,20240105,UTA,W,126,97,27,7,W 1,BOS,2024,False,108.9,.528,11.7,18.0,.344,115.7,107.9,.394,14.2,25.4,.245,89.9,Kristaps Porziņģis,Jaylen Brown,Derrick White,Jayson Tatum,Jrue Holiday,Sam Hauser,Payton Pritchard,Oshae Brissett,Svi Mykhailiuk,Lamar Stevens,Luke Kornet,Dalano Banton,Neemias Queta,Team Totals,,,Kris Dunn,Simone Fontecchio,Lauri Markkanen,John Collins,Collin Sexton,Ochai Agbaji,Keyonte George,Jordan Clarkson,Walker Kessler,Kelly Olynyk,Talen Horton-Tucker,Luka Šamanić,Omer Yurtseven,Team Totals,,
35,20240106,IND,W,118,101,28,7,W 2,BOS,2024,False,99.8,.600,15.5,31.7,.111,118.3,99.3,.457,8.1,18.9,.185,101.7,Jayson Tatum,Jrue Holiday,Jaylen Brown,Derrick White,Kristaps Porziņģis,Al Horford,Oshae Brissett,Sam Hauser,Luke Kornet,Payton Pritchard,Dalano Banton,Svi Mykhailiuk,Neemias Queta,Lamar Stevens,Team Totals,,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Myles Turner,Jalen Smith,Bennedict Mathurin,Obi Toppin,T.J. McConnell,Isaiah Jackson,Ben Sheppard,Oscar Tshiebwe,Kendall Brown,Jordan Nwora,Jarace Walker,James Johnson,Team Totals
36,20240108,IND,L,131,133,28,8,L 1,BOS,2024,False,102.3,.617,12.7,30.2,.222,128.1,102.3,.632,11.4,23.7,.198,130.0,Jaylen Brown,Jrue Holiday,Kristaps Porziņģis,Derrick White,Al Horford,Payton Pritchard,Oshae Brissett,Luke Kornet,Svi Mykhailiuk,Dalano Banton,Neemias Queta,Lamar Stevens,Team Totals,,,,Myles Turner,Jalen Smith,Aaron Nesmith,Bruce Brown,Tyrese Haliburton,Bennedict Mathurin,Buddy Hield,T.J. McConnell,Obi Toppin,Andrew Nembhard,Isaiah Jackson,James Johnson,Jordan Nwora,Ben Sheppard,Jarace Walker,Team Totals
37,20240110,MIN,W,127,120,29,8,W 1,BOS,2024,False,92.7,.539,7.2,15.2,.333,124.0,92.7,.537,8.0,17.0,.189,117.2,Derrick White,Jaylen Brown,Jayson Tatum,Jrue Holiday,Al Horford,Luke Kornet,Sam Hauser,Payton Pritchard,Oshae Brissett,Dalano Banton,Svi Mykhailiuk,Neemias Queta,Lamar Stevens,Team Totals,,,Anthony Edwards,Karl-Anthony Towns,Nickeil Alexander-Walker,Kyle Anderson,Jaden McDaniels,Naz Reid,Jordan McLaughlin,Shake Milton,Troy Brown Jr.,Luka Garza,Leonard Miller,Josh Minott,Wendell Moore Jr.,Daishen Nix,Team Totals,
38,20240111,MIL,L,102,135,29,9,L 1,BOS,2024,False,97.4,.423,5.4,12.5,.275,104.7,98.4,.663,10.0,32.4,.141,137.1,Kristaps Porziņģis,Jrue Holiday,Jaylen Brown,Derrick White,Jayson Tatum,Payton Pritchard,Sam Hauser,Lamar Stevens,Dalano Banton,Oshae Brissett,Svi Mykhailiuk,Neemias Queta,Luke Kornet,Team Totals,,,Brook Lopez,Malik Beasley,Damian Lillard,Giannis Antetokounmpo,Khris Middleton,Bobby Portis,Pat Connaughton,Andre Jackson Jr.,Cameron Payne,MarJon Beauchamp,Thanasis Antetokounmpo,Chris Livingston,A.J. Green,Robin Lopez,TyTy Washington Jr.,Team Totals
39,20240113,HOU,W,145,113,30,9,W 1,BOS,2024,False,106.2,.663,10.2,22.2,.200,136.6,106.2,.439,10.4,27.3,.263,106.4,Jayson Tatum,Jaylen Brown,Kristaps Porziņģis,Jrue Holiday,Derrick White,Payton Pritchard,Al Horford,Sam Hauser,Luke Kornet,Svi Mykhailiuk,Oshae Brissett,Lamar Stevens,Dalano Banton,Team Totals,,,Jabari Smith Jr.,Dillon Brooks,Alperen Sengun,Fred VanVleet,Jalen Green,Cam Whitmore,Amen Thompson,Jeff Green,Jock Landale,Jeenathan Williams,Jae'Sean Tate,Aaron Holiday,Reggie Bullock,Boban Marjanović,Team Totals,
40,20240115,TOR,W,105,96,31,9,W 2,BOS,2024,False,100.2,.500,12.3,10.4,.280,104.8,99.7,.421,6.3,15.8,.168,96.3,Jayson Tatum,Derrick White,Al Horford,Jrue Holiday,Kristaps Porziņģis,Payton Pritchard,Luke Kornet,Sam Hauser,Oshae Brissett,Dalano Banton,Svi Mykhailiuk,Neemias Queta,Lamar Stevens,Team Totals,,,Scottie Barnes,Immanuel Quickley,Pascal Siakam,RJ Barrett,Jontay Porter,Dennis Schröder,Thaddeus Young,Chris Boucher,Jalen McDaniels,Gradey Dick,Otto Porter Jr.,Garrett Temple,Team Totals,,,
41,20240117,SAS,W,117,98,32,9,W 3,BOS,2024,False,97.2,.567,12.5,28.6,.167,120.4,96.2,.457,9.1,20.8,.140,101.9,Jayson Tatum,Jrue Holiday,Jaylen Brown,Luke Kornet,Al Horford,Payton Pritchard,Sam Hauser,Oshae Brissett,Neemias Queta,Lamar Stevens,Dalano Banton,Svi Mykhailiuk,JD Davison,Jordan Walsh,Team Totals,,Devin Vassell,Jeremy Sochan,Tre Jones,Victor Wembanyama,Julian Champagnie,Keldon Johnson,Dominick Barlow,Malaki Branham,Cedi Osman,Doug McDermott,Blake Wesley,Mamadi Diakite,Sandro Mamukelashvili,Devonte' Graham,Team Totals,
42,20240119,DEN,L,100,102,32,10,L 1,BOS,2024,False,83.9,.506,3.1,24.5,.112,119.2,84.4,.568,11.3,27.8,.123,120.8,Jayson Tatum,Kristaps Porziņģis,Jaylen Brown,Derrick White,Jrue Holiday,Al Horford,Sam Hauser,Payton Pritchard,Luke Kornet,Dalano Banton,Oshae Brissett,Svi Mykhailiuk,Neemias Queta,Lamar Stevens,Team Totals,,Aaron Gordon,Nikola Jokić,Michael Porter Jr.,Jamal Murray,Kentavious Caldwell-Pope,Reggie Jackson,Peyton Watson,Christian Braun,Justin Holiday,Collin Gillespie,Jay Huff,DeAndre Jordan,Braxton Key,Zeke Nnaji,Hunter Tyson,Team Totals
43,20240121,HOU,W,116,107,33,10,W 1,BOS,2024,False,104.5,.526,13.1,29.6,.133,111.0,104.5,.489,12.6,22.0,.160,102.3,Derrick White,Jayson Tatum,Kristaps Porziņģis,Jaylen Brown,Sam Hauser,Payton Pritchard,Luke Kornet,Oshae Brissett,Neemias Queta,Dalano Banton,Svi Mykhailiuk,Lamar Stevens,Jordan Walsh,Team Totals,,,Dillon Brooks,Alperen Sengun,Jalen Green,Amen Thompson,Cam Whitmore,Aaron Holiday,Jeenathan Williams,Jae'Sean Tate,Jock Landale,Nate Hinton,Boban Marjanović,Jermaine Samuels,Team Totals,,,
44,20240122,DAL,W,119,110,34,10,W 2,BOS,2024,False,100.5,.551,5.6,11.6,.250,118.4,100.5,.515,8.8,20.4,.103,109.5,Jayson Tatum,Jrue Holiday,Jaylen Brown,Derrick White,Al Horford,Payton Pritchard,Luke Kornet,Sam Hauser,Dalano Banton,Svi Mykhailiuk,Neemias Queta,Lamar Stevens,Jordan Walsh,Team Totals,,,Luka Dončić,Josh Green,Kyrie Irving,Derrick Jones Jr.,Dereck Lively II,Tim Hardaway Jr.,Maxi Kleber,Grant Williams,Jaden Hardy,Richaun Holmes,A.J. Lawson,Markieff Morris,Dwight Powell,Olivier-Maxence Prosper,Brandon Williams,Team Totals
45,20240125,MIA,W,143,110,35,10,W 3,BOS,2024,False,91.6,.775,11.0,23.1,.238,156.1,92.1,.532,4.8,21.2,.106,119.4,Jayson Tatum,Derrick White,Jrue Holiday,Jaylen Brown,Kristaps Porziņģis,Payton Pritchard,Al Horford,Luke Kornet,Sam Hauser,Dalano Banton,Lamar Stevens,Neemias Queta,Oshae Brissett,Svi Mykhailiuk,Jordan Walsh,Team Totals,Tyler Herro,Jimmy Butler,Bam Adebayo,Terry Rozier,Haywood Highsmith,Josh Richardson,Caleb Martin,Duncan Robinson,Thomas Bryant,Nikola Jović,Orlando Robinson,Cole Swider,Team Totals,,,
46,20240127,LAC,L,96,115,35,11,L 1,BOS,2024,False,97.4,.410,9.3,29.5,.140,98.6,97.9,.490,6.8,30.6,.147,117.5,Jayson Tatum,Jrue Holiday,Derrick White,Jaylen Brown,Al Horford,Payton Pritchard,Sam Hauser,Luke Kornet,Oshae Brissett,Neemias Queta,Dalano Banton,Lamar Stevens,Svi Mykhailiuk,Team Totals,,,Kawhi Leonard,James Harden,Terance Mann,Paul George,Mason Plumlee,Amir Coffey,Daniel Theis,Norman Powell,Russell Westbrook,Brandon Boston Jr.,Bones Hyland,Kobe Brown,P.J. Tucker,Team Totals,,
47,20240129,NOP,W,118,112,36,11,W 1,BOS,2024,False,97.4,.606,10.5,16.2,.176,121.1,97.4,.560,11.0,20.9,.110,115.0,Jayson Tatum,Jaylen Brown,Al Horford,Derrick White,Jrue Holiday,Sam Hauser,Payton Pritchard,Oshae Brissett,Neemias Queta,Dalano Banton,Svi Mykhailiuk,Lamar Stevens,Team Totals,,,,CJ McCollum,Brandon Ingram,Zion Williamson,Herbert Jones,Jonas Valančiūnas,Trey Murphy III,Larry Nance Jr.,Naji Marshall,Dyson Daniels,Jordan Hawkins,Jose Alvarado,E.J. Liddell,Jeremiah Robinson-Earl,Cody Zeller,Team Totals,
48,20240130,IND,W,129,124,37,11,W 2,BOS,2024,False,99.1,.638,11.0,18.4,.207,130.1,98.6,.519,6.5,36.5,.111,125.7,Jrue Holiday,Jayson Tatum,Jaylen Brown,Derrick White,Kristaps Porziņģis,Sam Hauser,Payton Pritchard,Neemias Queta,Oshae Brissett,Dalano Banton,Svi Mykhailiuk,Lamar Stevens,Team Totals,,,,Aaron Nesmith,Buddy Hield,Pascal Siakam,Myles Turner,Tyrese Haliburton,Andrew Nembhard,Obi Toppin,Jalen Smith,Ben Sheppard,Kendall Brown,Isaiah Jackson,James Johnson,Jarace Walker,Team Totals,,
49,20240201,LAL,L,105,114,37,12,L 1,BOS,2024,False,96.7,.505,13.0,27.5,.072,108.6,96.7,.505,6.2,27.3,.202,117.9,Jayson Tatum,Derrick White,Kristaps Porziņģis,Jrue Holiday,Jaylen Brown,Al Horford,Sam Hauser,Payton Pritchard,Neemias Queta,Dalano Banton,Oshae Brissett,Svi Mykhailiuk,Lamar Stevens,Team Totals,,,D'Angelo Russell,Taurean Prince,Austin Reaves,Jaxson Hayes,Jarred Vanderbilt,Rui Hachimura,Max Christie,Christian Wood,Jalen Hood-Schifino,Maxwell Lewis,Skylar Mays,Dylan Windler,Team Totals,,,
50,20240204,MEM,W,131,91,38,12,W 1,BOS,2024,False,98.4,.581,9.3,36.2,.162,133.1,97.9,.440,17.1,28.6,.109,92.9,Jayson Tatum,Derrick White,Kristaps Porziņģis,Jrue Holiday,Al Horford,Sam Hauser,Payton Pritchard,Luke Kornet,Oshae Brissett,Neemias Queta,Jordan Walsh,Svi Mykhailiuk,Lamar Stevens,Dalano Banton,Team Totals,,Jacob Gilyard,GG Jackson II,David Roddy,Luke Kennard,Trey Jemison,Matthew Hurt,Tosan Evbuomwan,Scotty Pippen Jr.,Santi Aldama,John Konchar,Derrick Rose,Vince Williams Jr.,Team Totals,,,
51,20240207,ATL,W,125,117,39,12,W 2,BOS,2024,False,103.9,.618,12.5,14.3,.108,120.3,103.9,.485,7.5,25.0,.176,112.6,Al Horford,Jayson Tatum,Derrick White,Jaylen Brown,Kristaps Porziņģis,Sam Hauser,Luke Kornet,Payton Pritchard,Oshae Brissett,Dalano Banton,Svi Mykhailiuk,Neemias Queta,Jordan Walsh,Team Totals,,,Trae Young,Jalen Johnson,Onyeka Okongwu,Saddiq Bey,Bogdan Bogdanović,De'Andre Hunter,Garrison Mathews,Bruno Fernando,Patty Mills,AJ Griffin,Wesley Matthews,Dejounte Murray,Team Totals,,,
52,20240209,WAS,W,133,129,40,12,W 3,BOS,2024,False,107.9,.582,11.1,20.9,.283,123.3,107.9,.579,10.3,11.1,.200,119.6,Jayson Tatum,Jaylen Brown,Jrue Holiday,Derrick White,Kristaps Porziņģis,Al Horford,Payton Pritchard,Sam Hauser,Luke Kornet,Oshae Brissett,JD Davison,Svi Mykhailiuk,Drew Peterson,Jordan Walsh,Team Totals,,Deni Avdija,Tyus Jones,Jordan Poole,Kyle Kuzma,Bilal Coulibaly,Corey Kispert,Landry Shamet,Eugene Omoruyi,Delon Wright,Jules Bernard,Johnny Davis,Anthony Gill,Team Totals,,,
53,20240211,MIA,W,110,106,41,12,W 4,BOS,2024,False,92.4,.605,11.1,16.2,.148,119.1,91.4,.474,6.3,28.0,.144,116.0,Jayson Tatum,Derrick White,Jaylen Brown,Jrue Holiday,Kristaps Porziņģis,Al Horford,Payton Pritchard,Sam Hauser,Luke Kornet,Oshae Brissett,Svi Mykhailiuk,Jordan Walsh,Team Totals,,,,Tyler Herro,Caleb Martin,Bam Adebayo,Jaime Jaquez Jr.,Terry Rozier,Duncan Robinson,Haywood Highsmith,Kevin Love,Josh Richardson,Orlando Robinson,Thomas Bryant,Jamal Cain,Nikola Jović,Team Totals,,
54,20240213,BRK,W,118,110,42,12,W 5,BOS,2024,False,95.9,.608,13.1,18.9,.205,123.0,95.4,.589,11.7,17.9,.215,115.3,Jayson Tatum,Derrick White,Jaylen Brown,Al Horford,Jrue Holiday,Payton Pritchard,Luke Kornet,Sam Hauser,Oshae Brissett,Svi Mykhailiuk,Neemias Queta,Jordan Walsh,Team Totals,,,,Mikal Bridges,Cam Thomas,Nic Claxton,Ben Simmons,Dorian Finney-Smith,Dennis Schröder,Jalen Wilson,Lonnie Walker IV,Dennis Smith Jr.,Day'Ron Sharpe,Keita Bates-Diop,Noah Clowney,Keon Johnson,Trendon Watford,Team Totals,
55,20240214,BRK,W,136,86,43,12,W 6,BOS,2024,False,92.5,.692,9.4,28.6,.110,147.0,92.0,.444,12.0,12.8,.173,93.5,Sam Hauser,Jayson Tatum,Derrick White,Jrue Holiday,Kristaps Porziņģis,Payton Pritchard,Oshae Brissett,Luke Kornet,Jordan Walsh,Svi Mykhailiuk,Neemias Queta,Team Totals,,,,,Mikal Bridges,Cam Thomas,Nic Claxton,Dennis Schröder,Dorian Finney-Smith,Trendon Watford,Jalen Wilson,Dennis Smith Jr.,Cameron Johnson,Day'Ron Sharpe,Keon Johnson,Keita Bates-Diop,Lonnie Walker IV,Noah Clowney,Team Totals,
56,20240222,CHI,W,129,112,44,12,W 7,BOS,2024,False,98.7,.681,13.2,13.5,.193,130.6,98.2,.521,11.4,29.5,.149,114.0,Jayson Tatum,Derrick White,Jaylen Brown,Kristaps Porziņģis,Jrue Holiday,Al Horford,Payton Pritchard,Sam Hauser,Luke Kornet,Xavier Tillman Sr.,Svi Mykhailiuk,Oshae Brissett,Jaden Springer,Team Totals,,,Ayo Dosunmu,DeMar DeRozan,Coby White,Nikola Vučević,Alex Caruso,Julian Phillips,Andre Drummond,Jevon Carter,Dalen Terry,Onuralp Bitim,Terry Taylor,Torrey Craig,Team Totals,,,
57,20240224,NYK,W,116,102,45,12,W 8,BOS,2024,False,82.2,.660,7.5,31.4,.111,141.1,82.7,.530,13.6,37.5,.183,123.4,Jayson Tatum,Jrue Holiday,Jaylen Brown,Derrick White,Kristaps Porziņģis,Al Horford,Payton Pritchard,Sam Hauser,Luke Kornet,Jaden Springer,Oshae Brissett,Svi Mykhailiuk,Xavier Tillman Sr.,Team Totals,,,Josh Hart,Jalen Brunson,Precious Achiuwa,Donte DiVincenzo,Isaiah Hartenstein,Alec Burks,Bojan Bogdanović,Miles McBride,Jericho Sims,DaQuan Jeffries,Jacob Toppin,Julius Randle,Team Totals,,,
58,20240227,PHI,W,117,99,46,12,W 9,BOS,2024,False,95.1,.561,13.4,31.0,.459,123.1,95.6,.468,9.2,14.5,.117,103.6,Jrue Holiday,Jayson Tatum,Jaylen Brown,Kristaps Porziņģis,Derrick White,Al Horford,Sam Hauser,Payton Pritchard,Luke Kornet,Oshae Brissett,Jaden Springer,Svi Mykhailiuk,Xavier Tillman Sr.,Jordan Walsh,Team Totals,,Tyrese Maxey,Buddy Hield,Tobias Harris,Kelly Oubre Jr.,Paul Reed,Kyle Lowry,Nicolas Batum,Ricky Council IV,Mo Bamba,Cameron Payne,De'Anthony Melton,Darius Bazley,Team Totals,,,
59,20240301,DAL,W,138,110,47,12,W 10,BOS,2024,False,97.7,.665,8.3,22.0,.138,141.3,98.2,.516,7.3,20.8,.138,112.0,Jayson Tatum,Derrick White,Jaylen Brown,Kristaps Porziņģis,Jrue Holiday,Al Horford,Payton Pritchard,Sam Hauser,Xavier Tillman Sr.,Oshae Brissett,Svi Mykhailiuk,Jaden Springer,Luke Kornet,Team Totals,,,Kyrie Irving,Luka Dončić,P.J. Washington,Josh Green,Dereck Lively II,Maxi Kleber,Tim Hardaway Jr.,Dante Exum,Derrick Jones Jr.,Daniel Gafford,Jaden Hardy,Olivier-Maxence Prosper,Dwight Powell,Markieff Morris,Team Totals,
60,20240303,GSW,W,140,88,48,12,W 11,BOS,2024,False,101.0,.682,7.4,17.1,.094,138.7,100.5,.429,14.8,21.4,.098,87.6,Jrue Holiday,Jayson Tatum,Jaylen Brown,Al Horford,Derrick White,Payton Pritchard,Sam Hauser,Svi Mykhailiuk,Oshae Brissett,Xavier Tillman Sr.,Jaden Springer,Luke Kornet,Team Totals,,,,Jonathan Kuminga,Moses Moody,Stephen Curry,Draymond Green,Klay Thompson,Lester Quinones,Gary Payton II,Trayce Jackson-Davis,Chris Paul,Gui Santos,Jerome Robinson,Dario Šarić,Kevon Looney,Team Totals,,
61,20240305,CLE,L,104,105,48,13,L 1,BOS,2024,False,93.5,.500,11.7,29.2,.118,111.2,94.0,.544,8.7,17.0,.078,111.7,Jayson Tatum,Jaylen Brown,Jrue Holiday,Derrick White,Kristaps Porziņģis,Al Horford,Luke Kornet,Sam Hauser,Payton Pritchard,Oshae Brissett,Svi Mykhailiuk,Jaden Springer,Jordan Walsh,Team Totals,,,Darius Garland,Jarrett Allen,Isaac Okoro,Sam Merrill,Evan Mobley,Caris LeVert,Georges Niang,Dean Wade,Craig Porter Jr.,Emoni Bates,Sharife Cooper,Damian Jones,Pete Nance,Team Totals,,
62,20240307,DEN,L,109,115,48,14,L 2,BOS,2024,False,97.9,.511,10.5,26.0,.176,111.4,98.4,.522,7.4,19.0,.233,116.9,Jaylen Brown,Jayson Tatum,Derrick White,Kristaps Porziņģis,Jrue Holiday,Al Horford,Xavier Tillman Sr.,Payton Pritchard,Sam Hauser,Oshae Brissett,Luke Kornet,Svi Mykhailiuk,Jaden Springer,Team Totals,,,Nikola Jokić,Jamal Murray,Aaron Gordon,Kentavious Caldwell-Pope,Michael Porter Jr.,Peyton Watson,Christian Braun,Justin Holiday,Reggie Jackson,Zeke Nnaji,Jay Huff,DeAndre Jordan,Jalen Pickett,Julian Strawther,Hunter Tyson,Team Totals
63,20240309,PHO,W,117,107,49,14,W 1,BOS,2024,False,96.0,.569,10.7,29.5,.106,121.9,96.5,.557,13.8,25.0,.115,110.9,Jayson Tatum,Jrue Holiday,Derrick White,Jaylen Brown,Al Horford,Payton Pritchard,Luke Kornet,Sam Hauser,JD Davison,Jaden Springer,Oshae Brissett,Svi Mykhailiuk,Xavier Tillman Sr.,Team Totals,,,Grayson Allen,Bradley Beal,Kevin Durant,Royce O'Neale,Jusuf Nurkić,Eric Gordon,Drew Eubanks,Bol Bol,David Roddy,Saben Lee,Ish Wainright,Thaddeus Young,Team Totals,,,
64,20240311,POR,W,121,99,50,14,W 2,BOS,2024,False,90.4,.565,2.8,32.6,.080,133.8,90.4,.506,10.7,22.5,.126,109.5,Jayson Tatum,Derrick White,Jaylen Brown,Al Horford,Payton Pritchard,Sam Hauser,Luke Kornet,Oshae Brissett,JD Davison,Neemias Queta,Jaden Springer,Xavier Tillman Sr.,Team Totals,,,,Jerami Grant,Anfernee Simons,Scoot Henderson,Deandre Ayton,Kris Murray,Toumani Camara,Dalano Banton,Matisse Thybulle,Duop Reath,Moses Brown,Rayan Rupert,Shaedon Sharpe,Team Totals,,,
65,20240312,UTA,W,123,107,51,14,W 3,BOS,2024,False,90.7,.576,8.2,32.6,.185,135.6,90.2,.564,9.9,22.0,.116,118.7,Jrue Holiday,Derrick White,Sam Hauser,Jayson Tatum,Luke Kornet,Xavier Tillman Sr.,Payton Pritchard,Oshae Brissett,JD Davison,Jaden Springer,Svi Mykhailiuk,Neemias Queta,Team Totals,,,,Keyonte George,Collin Sexton,John Collins,Brice Sensabaugh,Luka Šamanić,Jordan Clarkson,Kris Dunn,Walker Kessler,Talen Horton-Tucker,Micah Potter,Johnny Juzang,Kira Lewis Jr.,Kenneth Lofton Jr.,Omer Yurtseven,Team Totals,
