G,Date,Opponent,Unnamed: 7,Tm,Opp,W,L,Streak,Team,Year,Is_Playoffs,Team_Pace,Team_eFG%,Team_TOV%,Team_ORB%,Team_FT/FGA,Team_ORtg,Opponent_Pace,Opponent_eFG%,Opponent_TOV%,Opponent_ORB%,Opponent_FT/FGA,Opponent_ORtg,Team_Player1_Starters,Team_Player2_Starters,Team_Player3_Starters,Team_Player4_Starters,Team_Player5_Starters,Team_Player6_Starters,Team_Player7_Starters,Team_Player8_Starters,Team_Player9_Starters,Team_Player10_Starters,Team_Player11_Starters,Team_Player12_Starters,Team_Player13_Starters,Team_Player14_Starters,Team_Player15_Starters,Team_Player16_Starters,Opponent_Player1_Starters,Opponent_Player2_Starters,Opponent_Player3_Starters,Opponent_Player4_Starters,Opponent_Player5_Starters,Opponent_Player6_Starters,Opponent_Player7_Starters,Opponent_Player8_Starters,Opponent_Player9_Starters,Opponent_Player10_Starters,Opponent_Player11_Starters,Opponent_Player12_Starters,Opponent_Player13_Starters,Opponent_Player14_Starters,Opponent_Player15_Starters,Opponent_Player16_Starters
66,20240314,PHO,W,127,112,52,14,W 4,BOS,2024,False,94.7,.669,9.6,15.8,.090,134.2,94.2,.530,11.9,41.3,.071,118.9,Jaylen Brown,Derrick White,Jayson Tatum,Jrue Holiday,Al Horford,Sam Hauser,Payton Pritchard,Xavier Tillman Sr.,Luke Kornet,Oshae Brissett,Svi Mykhailiuk,Neemias Queta,Jaden Springer,Team Totals,,,Devin Booker,Grayson Allen,Bradley Beal,Kevin Durant,Jusuf Nurkić,Royce O'Neale,Bol Bol,Ish Wainright,Drew Eubanks,David Roddy,Thaddeus Young,Nassir Little,Team Totals,,,
67,20240317,WAS,W,130,104,53,14,W 5,BOS,2024,False,98.1,.632,13.3,28.6,.230,132.5,97.6,.517,14.4,24.4,.135,106.5,Oshae Brissett,Jayson Tatum,Sam Hauser,Al Horford,Jrue Holiday,Payton Pritchard,Svi Mykhailiuk,Luke Kornet,Jaden Springer,Xavier Tillman Sr.,Neemias Queta,Jaylen Brown,Team Totals,,,,Justin Champagnie,Patrick Baldwin Jr.,Jordan Poole,Corey Kispert,Richaun Holmes,Anthony Gill,Jules Bernard,Johnny Davis,Jared Butler,Eugene Omoruyi,Bilal Coulibaly,Team Totals,,,,
68,20240318,DET,W,119,94,54,14,W 6,BOS,2024,False,93.8,.568,9.8,30.0,.116,126.9,93.3,.482,12.5,17.4,.155,100.8,Payton Pritchard,Derrick White,Jaylen Brown,Luke Kornet,Kristaps Porziņģis,Svi Mykhailiuk,Jaden Springer,Oshae Brissett,Xavier Tillman Sr.,Jordan Walsh,Drew Peterson,Neemias Queta,Team Totals,,,,Marcus Sasser,Stanley Umude,Jaden Ivey,Jalen Duren,Isaiah Stewart,James Wiseman,Evan Fournier,Malachi Flynn,Tosan Evbuomwan,Taj Gibson,Troy Brown Jr.,Cade Cunningham,Simone Fontecchio,Team Totals,,
69,20240320,MIL,W,122,119,55,14,W 7,BOS,2024,False,93.1,.576,8.4,25.6,.282,131.1,93.6,.637,14.3,25.7,.143,127.2,Jayson Tatum,Al Horford,Derrick White,Jaylen Brown,Kristaps Porziņģis,Payton Pritchard,Xavier Tillman Sr.,Luke Kornet,Svi Mykhailiuk,Oshae Brissett,Drew Peterson,Jaden Springer,Team Totals,,,,Damian Lillard,Khris Middleton,Malik Beasley,Brook Lopez,Jae Crowder,Bobby Portis,Pat Connaughton,Patrick Beverley,Danilo Gallinari,A.J. Green,Thanasis Antetokounmpo,MarJon Beauchamp,Andre Jackson Jr.,Team Totals,,
70,20240322,DET,W,129,102,56,14,W 8,BOS,2024,False,97.2,.618,6.5,19.0,.213,132.7,97.7,.560,17.6,22.9,.108,104.4,Payton Pritchard,Derrick White,Jaylen Brown,Kristaps Porziņģis,Xavier Tillman Sr.,Sam Hauser,Oshae Brissett,Luke Kornet,Svi Mykhailiuk,Neemias Queta,JD Davison,Jordan Walsh,Jaden Springer,Team Totals,,,James Wiseman,Tosan Evbuomwan,Cade Cunningham,Jaden Ivey,Troy Brown Jr.,Marcus Sasser,Evan Fournier,Chimezie Metu,Jared Rhoden,Buddy Boeheim,Jalen Duren,Malachi Flynn,Stanley Umude,Team Totals,,
71,20240323,CHI,W,124,113,57,14,W 9,BOS,2024,False,90.2,.634,11.4,31.6,.174,137.4,90.2,.628,7.5,9.4,.122,125.2,Derrick White,Jayson Tatum,Sam Hauser,Al Horford,Luke Kornet,Payton Pritchard,Oshae Brissett,Xavier Tillman Sr.,Svi Mykhailiuk,Jaden Springer,JD Davison,Neemias Queta,Jordan Walsh,Team Totals,,,DeMar DeRozan,Ayo Dosunmu,Coby White,Nikola Vučević,Alex Caruso,Dalen Terry,Torrey Craig,Andre Drummond,Onuralp Bitim,Terry Taylor,Jevon Carter,Javonte Green,Team Totals,,,
72,20240325,ATL,L,118,120,57,15,L 1,BOS,2024,False,93.7,.553,8.0,29.3,.137,126.0,92.7,.632,12.1,36.6,.115,129.5,Jayson Tatum,Jaylen Brown,Al Horford,Kristaps Porziņģis,Sam Hauser,Payton Pritchard,Svi Mykhailiuk,Oshae Brissett,Luke Kornet,Jaden Springer,JD Davison,Derrick White,Team Totals,,,,Dejounte Murray,Bogdan Bogdanović,De'Andre Hunter,Vit Krejci,Clint Capela,Bruno Fernando,Garrison Mathews,Wesley Matthews,Trent Forrest,Dylan Windler,Jalen Johnson,Trae Young,Team Totals,,,
73,20240328,ATL,L,122,123,57,16,L 2,BOS,2024,False,92.4,.553,10.4,20.0,.191,119.6,92.4,.563,9.2,33.3,.058,120.6,Jayson Tatum,Derrick White,Kristaps Porziņģis,Jaylen Brown,Jrue Holiday,Sam Hauser,Payton Pritchard,Luke Kornet,Xavier Tillman Sr.,Oshae Brissett,Al Horford,Svi Mykhailiuk,Team Totals,,,,Dejounte Murray,Bogdan Bogdanović,De'Andre Hunter,Vit Krejci,Clint Capela,Wesley Matthews,Bruno Fernando,Garrison Mathews,Trent Forrest,Jalen Johnson,Dylan Windler,Trae Young,Team Totals,,,
74,20240330,NOP,W,104,92,58,16,W 1,BOS,2024,False,91.0,.567,13.0,20.5,.134,114.2,90.5,.471,8.7,18.9,.128,101.6,Jayson Tatum,Jrue Holiday,Jaylen Brown,Derrick White,Kristaps Porziņģis,Al Horford,Payton Pritchard,Sam Hauser,Xavier Tillman Sr.,Oshae Brissett,Luke Kornet,Svi Mykhailiuk,Team Totals,,,,Zion Williamson,Herbert Jones,Trey Murphy III,CJ McCollum,Jonas Valančiūnas,Naji Marshall,Larry Nance Jr.,Dyson Daniels,Jordan Hawkins,Matt Ryan,Jeremiah Robinson-Earl,Cody Zeller,Team Totals,,,
75,20240401,CHO,W,118,104,59,16,W 2,BOS,2024,False,93.1,.590,10.3,25.6,.146,126.7,93.1,.522,6.8,16.7,.099,111.7,Derrick White,Jayson Tatum,Jrue Holiday,Kristaps Porziņģis,Al Horford,Payton Pritchard,Sam Hauser,Luke Kornet,Oshae Brissett,Xavier Tillman Sr.,Svi Mykhailiuk,Jaden Springer,Team Totals,,,,Miles Bridges,Brandon Miller,Vasilije Micić,Grant Williams,Tre Mann,Dāvis Bertāns,Aleksej Pokusevski,Marques Bolden,JT Thor,Nick Smith Jr.,Bryce McGowens,Amari Bailey,Team Totals,,,
76,20240403,OKC,W,135,100,60,16,W 3,BOS,2024,False,98.1,.636,9.9,29.7,.196,137.6,98.1,.463,13.0,12.5,.309,101.9,Jaylen Brown,Jrue Holiday,Derrick White,Kristaps Porziņģis,Jayson Tatum,Payton Pritchard,Al Horford,Sam Hauser,Luke Kornet,Svi Mykhailiuk,Oshae Brissett,Xavier Tillman Sr.,Team Totals,,,,Aaron Wiggins,Luguentz Dort,Cason Wallace,Josh Giddey,Chet Holmgren,Kenrich Williams,Isaiah Joe,Gordon Hayward,Jaylin Williams,Lindy Waters III,Mike Muscala,Bismack Biyombo,Team Totals,,,
77,20240405,SAC,W,101,100,61,16,W 4,BOS,2024,False,92.2,.494,7.6,23.5,.146,109.5,91.7,.470,6.3,27.8,.071,109.0,Sam Hauser,Jayson Tatum,Jrue Holiday,Kristaps Porziņģis,Al Horford,Payton Pritchard,Xavier Tillman Sr.,Luke Kornet,Svi Mykhailiuk,Oshae Brissett,Jordan Walsh,Drew Peterson,Team Totals,,,,De'Aaron Fox,Keegan Murray,Domantas Sabonis,Harrison Barnes,Keon Ellis,Davion Mitchell,Trey Lyles,Sasha Vezenkov,Kessler Edwards,Colby Jones,Alex Len,Chris Duarte,JaVale McGee,Team Totals,,
78,20240407,POR,W,124,107,62,16,W 5,BOS,2024,False,97.6,.655,12.3,13.9,.115,127.1,97.6,.461,12.2,38.6,.127,109.7,Derrick White,Jaylen Brown,Kristaps Porziņģis,Jrue Holiday,Al Horford,Sam Hauser,Payton Pritchard,Luke Kornet,Xavier Tillman Sr.,Svi Mykhailiuk,Oshae Brissett,Jaden Springer,Team Totals,,,,Scoot Henderson,Deandre Ayton,Jabari Walker,Rayan Rupert,Kris Murray,Dalano Banton,Justin Minaya,Duop Reath,Ibou Badji,Moses Brown,Shaedon Sharpe,Matisse Thybulle,Team Totals,,,
79,20240409,MIL,L,91,104,62,17,L 1,BOS,2024,False,88.7,.489,11.4,23.5,.000,102.6,89.7,.636,18.0,27.8,.012,115.9,Jayson Tatum,Jaylen Brown,Jrue Holiday,Derrick White,Xavier Tillman Sr.,Sam Hauser,Payton Pritchard,Luke Kornet,Svi Mykhailiuk,Oshae Brissett,Al Horford,Jaden Springer,Team Totals,,,,Damian Lillard,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Patrick Beverley,Malik Beasley,Bobby Portis,Pat Connaughton,A.J. Green,Andre Jackson Jr.,Thanasis Antetokounmpo,Chris Livingston,TyTy Washington Jr.,Jae Crowder,Danilo Gallinari,Team Totals
80,20240411,NYK,L,109,118,62,18,L 2,BOS,2024,False,93.7,.558,11.4,22.2,.151,116.4,95.2,.566,12.7,39.5,.061,124.0,Jayson Tatum,Jrue Holiday,Jaylen Brown,Derrick White,Kristaps Porziņģis,Sam Hauser,Payton Pritchard,Al Horford,Svi Mykhailiuk,Jaden Springer,Luke Kornet,Xavier Tillman Sr.,Team Totals,,,,Donte DiVincenzo,Isaiah Hartenstein,Josh Hart,Jalen Brunson,OG Anunoby,Bojan Bogdanović,Miles McBride,Precious Achiuwa,Mitchell Robinson,Alec Burks,Mamadi Diakite,DaQuan Jeffries,Shake Milton,Jericho Sims,Jacob Toppin,Team Totals
81,20240412,CHO,W,131,98,63,18,W 1,BOS,2024,False,97.7,.587,5.2,35.6,.087,134.1,98.2,.520,18.9,9.8,.250,99.8,Svi Mykhailiuk,Payton Pritchard,Sam Hauser,Jaden Springer,Luke Kornet,Jordan Walsh,Neemias Queta,JD Davison,Oshae Brissett,Xavier Tillman Sr.,Drew Peterson,Derrick White,Team Totals,,,,Tre Mann,Marques Bolden,Vasilije Micić,Miles Bridges,Brandon Miller,Nick Smith Jr.,Dāvis Bertāns,Bryce McGowens,JT Thor,Aleksej Pokusevski,Leaky Black,Amari Bailey,Team Totals,,,
82,20240414,WAS,W,132,122,64,18,W 2,BOS,2024,False,105.8,.663,14.8,26.3,.157,124.7,104.8,.544,10.1,17.4,.097,116.4,Payton Pritchard,Svi Mykhailiuk,Sam Hauser,Luke Kornet,Jordan Walsh,Jaden Springer,Neemias Queta,Oshae Brissett,JD Davison,Drew Peterson,Xavier Tillman Sr.,Derrick White,Team Totals,,,,Patrick Baldwin Jr.,Corey Kispert,Deni Avdija,Johnny Davis,Anthony Gill,Jared Butler,Jules Bernard,Eugene Omoruyi,Justin Champagnie,Richaun Holmes,Jordan Poole,Tristan Vukcevic,Team Totals,,,
1,20240421,MIA,W,114,94,1,0,W 1,BOS,2024,True,87.1,.610,11.0,25.6,.171,131.0,87.6,.543,11.6,12.8,.074,107.4,Jayson Tatum,Jaylen Brown,Kristaps Porziņģis,Derrick White,Jrue Holiday,Al Horford,Payton Pritchard,Sam Hauser,Oshae Brissett,Svi Mykhailiuk,Neemias Queta,Jaden Springer,Xavier Tillman Sr.,Jordan Walsh,Team Totals,,Bam Adebayo,Jaime Jaquez Jr.,Tyler Herro,Caleb Martin,Nikola Jović,Delon Wright,Haywood Highsmith,Duncan Robinson,Kevin Love,Thomas Bryant,Jimmy Butler,Patty Mills,Josh Richardson,Orlando Robinson,Terry Rozier,Team Totals
2,20240424,MIA,L,101,111,1,1,L 1,BOS,2024,True,92.3,.538,12.7,14.3,.188,109.4,92.8,.647,14.4,10.8,.187,119.6,Jayson Tatum,Jrue Holiday,Jaylen Brown,Derrick White,Kristaps Porziņģis,Al Horford,Payton Pritchard,Sam Hauser,Oshae Brissett,Svi Mykhailiuk,Neemias Queta,Jaden Springer,Xavier Tillman Sr.,Jordan Walsh,Team Totals,,Bam Adebayo,Tyler Herro,Caleb Martin,Jaime Jaquez Jr.,Nikola Jović,Haywood Highsmith,Delon Wright,Duncan Robinson,Kevin Love,Thomas Bryant,Jimmy Butler,Patty Mills,Josh Richardson,Orlando Robinson,Terry Rozier,Team Totals
3,20240427,MIA,W,104,84,2,1,W 1,BOS,2024,True,84.1,.543,6.2,27.0,.183,123.6,83.6,.474,12.6,21.4,.143,100.5,Jayson Tatum,Jrue Holiday,Jaylen Brown,Derrick White,Kristaps Porziņģis,Payton Pritchard,Al Horford,Sam Hauser,Luke Kornet,Oshae Brissett,Svi Mykhailiuk,Neemias Queta,Jaden Springer,Xavier Tillman Sr.,Jordan Walsh,Team Totals,Bam Adebayo,Caleb Martin,Nikola Jović,Jaime Jaquez Jr.,Tyler Herro,Haywood Highsmith,Patty Mills,Duncan Robinson,Thomas Bryant,Kevin Love,Orlando Robinson,Jimmy Butler,Josh Richardson,Terry Rozier,Delon Wright,Team Totals
4,20240429,MIA,W,102,88,3,1,W 2,BOS,2024,True,92.4,.500,10.5,24.4,.186,110.4,92.9,.459,14.1,18.6,.105,94.7,Derrick White,Jaylen Brown,Jrue Holiday,Jayson Tatum,Kristaps Porziņģis,Al Horford,Payton Pritchard,Sam Hauser,Luke Kornet,Oshae Brissett,Svi Mykhailiuk,Neemias Queta,Jaden Springer,Xavier Tillman Sr.,Jordan Walsh,Team Totals,Tyler Herro,Bam Adebayo,Caleb Martin,Jaime Jaquez Jr.,Nikola Jović,Delon Wright,Patty Mills,Haywood Highsmith,Kevin Love,Duncan Robinson,Thomas Bryant,Jimmy Butler,Josh Richardson,Orlando Robinson,Terry Rozier,Team Totals
5,20240501,MIA,W,118,84,4,1,W 3,BOS,2024,True,94.5,.649,14.4,22.9,.234,124.8,94.0,.431,6.2,4.0,.103,89.3,Jrue Holiday,Jayson Tatum,Derrick White,Jaylen Brown,Al Horford,Payton Pritchard,Sam Hauser,Luke Kornet,Svi Mykhailiuk,Jaden Springer,Xavier Tillman Sr.,Oshae Brissett,Neemias Queta,Jordan Walsh,Team Totals,,Caleb Martin,Bam Adebayo,Tyler Herro,Delon Wright,Nikola Jović,Haywood Highsmith,Patty Mills,Duncan Robinson,Thomas Bryant,Kevin Love,Jimmy Butler,Jaime Jaquez Jr.,Josh Richardson,Orlando Robinson,Terry Rozier,Team Totals
6,20240507,CLE,W,120,95,5,1,W 4,BOS,2024,True,91.9,.587,8.4,29.5,.130,130.5,90.4,.472,5.0,14.3,.111,105.1,Jrue Holiday,Jayson Tatum,Jaylen Brown,Derrick White,Al Horford,Payton Pritchard,Luke Kornet,Sam Hauser,Xavier Tillman Sr.,Neemias Queta,Oshae Brissett,Svi Mykhailiuk,Jaden Springer,Jordan Walsh,Team Totals,,Donovan Mitchell,Darius Garland,Max Strus,Evan Mobley,Isaac Okoro,Caris LeVert,Sam Merrill,Tristan Thompson,Marcus Morris,Georges Niang,Jarrett Allen,Damian Jones,Team Totals,,,
7,20240509,CLE,L,94,118,5,2,L 1,BOS,2024,True,91.4,.463,7.2,14.0,.250,102.8,92.4,.622,11.4,21.9,.128,127.7,Jayson Tatum,Jrue Holiday,Jaylen Brown,Derrick White,Al Horford,Payton Pritchard,Luke Kornet,Xavier Tillman Sr.,Sam Hauser,Oshae Brissett,Jaden Springer,Jordan Walsh,Svi Mykhailiuk,Neemias Queta,Team Totals,,Max Strus,Donovan Mitchell,Darius Garland,Evan Mobley,Isaac Okoro,Caris LeVert,Marcus Morris,Georges Niang,Tristan Thompson,Sam Merrill,Damian Jones,Jarrett Allen,Team Totals,,,
8,20240511,CLE,W,106,93,6,2,W 1,BOS,2024,True,87.4,.594,12.2,24.3,.138,121.2,86.9,.500,8.3,16.7,.107,107.0,Jayson Tatum,Jaylen Brown,Al Horford,Jrue Holiday,Derrick White,Payton Pritchard,Sam Hauser,Luke Kornet,Oshae Brissett,Svi Mykhailiuk,Jaden Springer,Jordan Walsh,Neemias Queta,Xavier Tillman Sr.,Team Totals,,Donovan Mitchell,Darius Garland,Max Strus,Evan Mobley,Isaac Okoro,Caris LeVert,Dean Wade,Sam Merrill,Marcus Morris,Tristan Thompson,Jarrett Allen,Damian Jones,Georges Niang,Team Totals,,
9,20240513,CLE,W,109,102,7,2,W 2,BOS,2024,True,92.0,.564,14.5,29.4,.269,118.5,92.0,.516,7.6,17.4,.053,110.9,Jayson Tatum,Jrue Holiday,Jaylen Brown,Derrick White,Al Horford,Payton Pritchard,Luke Kornet,Sam Hauser,Oshae Brissett,Svi Mykhailiuk,Neemias Queta,Jaden Springer,Xavier Tillman Sr.,Jordan Walsh,Team Totals,,Max Strus,Darius Garland,Evan Mobley,Caris LeVert,Isaac Okoro,Dean Wade,Sam Merrill,Tristan Thompson,Georges Niang,Jarrett Allen,Damian Jones,Donovan Mitchell,Marcus Morris,Team Totals,,
10,20240515,CLE,W,113,98,8,2,W 3,BOS,2024,True,86.1,.644,14.1,33.3,.125,131.3,85.1,.563,10.6,15.8,.114,115.2,Jayson Tatum,Jrue Holiday,Jaylen Brown,Derrick White,Al Horford,Payton Pritchard,Luke Kornet,Sam Hauser,Oshae Brissett,Svi Mykhailiuk,Neemias Queta,Jaden Springer,Xavier Tillman Sr.,Jordan Walsh,Team Totals,,Max Strus,Darius Garland,Evan Mobley,Dean Wade,Isaac Okoro,Marcus Morris,Sam Merrill,Georges Niang,Tristan Thompson,Jarrett Allen,Damian Jones,Caris LeVert,Donovan Mitchell,Team Totals,,
11,20240521,IND,W,133,128,9,2,W 4,BOS,2024,True,100.7,.551,11.8,27.7,.242,119.7,100.7,.601,17.5,25.0,.091,115.2,Jrue Holiday,Jayson Tatum,Jaylen Brown,Derrick White,Al Horford,Payton Pritchard,Luke Kornet,Sam Hauser,Oshae Brissett,Svi Mykhailiuk,Neemias Queta,Jaden Springer,Jordan Walsh,Team Totals,,,Pascal Siakam,Tyrese Haliburton,Aaron Nesmith,Myles Turner,Andrew Nembhard,T.J. McConnell,Obi Toppin,Ben Sheppard,Isaiah Jackson,Jalen Smith,Kendall Brown,James Johnson,Doug McDermott,Jarace Walker,Team Totals,
12,20240523,IND,W,126,110,10,2,W 5,BOS,2024,True,93.1,.619,11.0,34.2,.193,135.3,92.1,.589,14.9,30.8,.131,119.4,Jayson Tatum,Jaylen Brown,Jrue Holiday,Derrick White,Al Horford,Sam Hauser,Payton Pritchard,Oshae Brissett,Luke Kornet,Xavier Tillman Sr.,Svi Mykhailiuk,Neemias Queta,Jaden Springer,Jordan Walsh,Team Totals,,Pascal Siakam,Tyrese Haliburton,Andrew Nembhard,Aaron Nesmith,Myles Turner,Ben Sheppard,Obi Toppin,T.J. McConnell,Isaiah Jackson,Doug McDermott,Jalen Smith,Jarace Walker,Kendall Brown,James Johnson,Team Totals,
13,20240525,IND,W,114,111,11,2,W 6,BOS,2024,True,95.3,.566,8.7,17.1,.241,119.6,94.3,.533,10.2,23.7,.154,117.7,Jayson Tatum,Jrue Holiday,Jaylen Brown,Derrick White,Al Horford,Payton Pritchard,Sam Hauser,Xavier Tillman Sr.,Oshae Brissett,Svi Mykhailiuk,Neemias Queta,Jaden Springer,Jordan Walsh,Team Totals,,,Andrew Nembhard,Myles Turner,Pascal Siakam,Aaron Nesmith,Ben Sheppard,T.J. McConnell,Obi Toppin,Isaiah Jackson,Doug McDermott,Kendall Brown,James Johnson,Jalen Smith,Jarace Walker,Team Totals,,
14,20240527,IND,W,105,102,12,2,W 7,BOS,2024,True,93.4,.528,12.0,26.1,.124,112.4,92.4,.517,13.0,28.9,.138,110.4,Jaylen Brown,Jayson Tatum,Derrick White,Al Horford,Jrue Holiday,Sam Hauser,Payton Pritchard,Xavier Tillman Sr.,Oshae Brissett,Luke Kornet,Svi Mykhailiuk,Neemias Queta,Jaden Springer,Jordan Walsh,Team Totals,,Pascal Siakam,Andrew Nembhard,Aaron Nesmith,Myles Turner,Ben Sheppard,Obi Toppin,T.J. McConnell,Doug McDermott,Isaiah Jackson,Kendall Brown,James Johnson,Jarace Walker,Team Totals,,,
15,20240606,DAL,W,107,89,13,2,W 8,BOS,2024,True,92.2,.573,13.4,23.3,.159,116.1,91.2,.458,10.6,21.3,.143,97.6,Jayson Tatum,Jaylen Brown,Derrick White,Jrue Holiday,Al Horford,Kristaps Porziņģis,Sam Hauser,Payton Pritchard,Luke Kornet,Svi Mykhailiuk,Oshae Brissett,Neemias Queta,Jaden Springer,Xavier Tillman Sr.,Jordan Walsh,Team Totals,Luka Dončić,Kyrie Irving,P.J. Washington,Derrick Jones Jr.,Daniel Gafford,Josh Green,Maxi Kleber,Dereck Lively II,Jaden Hardy,Tim Hardaway Jr.,Dante Exum,Dwight Powell,A.J. Lawson,Markieff Morris,Olivier-Maxence Prosper,Team Totals
16,20240609,DAL,W,105,98,14,2,W 9,BOS,2024,True,93.2,.512,10.6,22.7,.226,112.7,92.7,.513,14.2,22.5,.200,105.8,Jayson Tatum,Jaylen Brown,Jrue Holiday,Derrick White,Al Horford,Kristaps Porziņģis,Payton Pritchard,Sam Hauser,Oshae Brissett,Luke Kornet,Svi Mykhailiuk,Neemias Queta,Jaden Springer,Xavier Tillman Sr.,Jordan Walsh,Team Totals,Luka Dončić,Kyrie Irving,P.J. Washington,Derrick Jones Jr.,Daniel Gafford,Dereck Lively II,Maxi Kleber,Josh Green,Dante Exum,Jaden Hardy,Tim Hardaway Jr.,A.J. Lawson,Markieff Morris,Dwight Powell,Olivier-Maxence Prosper,Team Totals
